REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,GENDER,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
109985,2026,06,4,59,9,06,,1,6,1,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,,,,,,,,,,,1,18,,300
109986,2026,06,1,12,0,11,,1,1,5,1,,,4,3,12,02,05,,,,200,100,2,200,100,,,,,,5,199,,,,,,,,,,,,,,,,,,,,,,,,05,,140
109987,2026,06,1,35,0,02,4,2,6,4,1,,,2,3,19,07,34,,,,260,300,2,260,300,0,,0,0,0,4,2,,1760,3,1,1,1,,,,,,,,,,,,,,,,,2,01,,233
109988,2026,06,4,24,2,12,,1,5,2,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,955
109989,2026,06,4,59,9,02,3,1,6,4,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,04,,457
109990,2026,06,4,24,2,12,,2,5,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,,,,,,,,,,,,18,,1070
109991,2026,06,4,35,5,12,,2,3,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,,,,,,,,,,,,01,,348
109992,2026,06,1,10,0,01,2,1,6,3,2,,,1,3,21,03,12,,,,350,350,1,700,700,0,,0,0,0,,98,,1900,3,3,4,4,,,,,,,,,,,,,,,,,2,03,,50
109993,2026,06,1,47,0,07,,1,1,5,1,,,3,3,13,01,03,,,,400,400,1,400,400,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,1,03,3,177
109994,2026,06,1,24,0,06,,1,2,4,1,,,2,3,14,03,11,,,,400,460,1,400,460,0,,0,60,60,,46,,13510,3,1,4,4,,,,,,,,,,,,,,,,,1,03,2,96
109995,2026,06,4,59,0,12,,2,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,546
109996,2026,06,1,59,0,03,6,2,1,4,2,,,2,3,14,02,08,,,,120,120,2,200,200,0,,0,0,0,2,73,,2800,3,1,1,1,,,,,,,,,,,,,,,,,1,03,1,289
109997,2026,06,4,48,8,12,,1,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,,,,,,,,,,,,11,,725
109998,2026,06,1,59,9,12,,1,4,4,1,,,4,3,14,02,06,,,,200,500,2,200,500,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,01,,318
109999,2026,06,1,24,0,04,,2,6,6,1,,,2,3,06,02,08,,,,400,400,1,400,400,0,,0,0,0,,8,,3300,3,3,4,4,,,,,,,,,,,,,,,,,1,01,,325
110000,2026,06,1,24,2,04,,2,6,6,2,,,1,3,16,02,07,,,,400,400,1,410,410,0,,0,0,0,,6,,3546,1,2,1,3,,,,,,,,,,,,,,,,,1,01,,1288
110001,2026,06,4,46,6,01,2,2,6,1,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,07,,292
110002,2026,06,1,59,0,05,,1,1,5,1,,,1,2,17,04,16,,,,320,330,1,320,330,0,,0,10,10,,174,,5000,1,1,3,4,,,,,,,,,,,,,,,,,1,06,1,103
110003,2026,06,3,35,4,04,,1,6,5,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,99,4,1,,,29,2,,1,1,1,1,,1,,,1,18,,1163
110004,2026,06,1,12,0,07,,1,1,6,1,,,1,3,16,05,20,,,,400,400,1,400,400,0,,0,0,0,,118,,5625,1,1,4,4,,,,,,,,,,,,,,,,,1,03,3,168
110005,2026,06,1,46,0,02,4,2,2,3,1,,,1,3,06,08,35,,,,400,475,1,400,475,0,,75,0,75,,38,,2827,1,1,1,3,,,,,,,,,,,,,,,,,1,02,,280
110006,2026,06,4,59,0,12,,2,3,4,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,18,,244
110007,2026,06,4,35,0,12,,1,1,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,08,,206
110008,2026,06,1,35,0,05,,2,4,4,1,,,2,2,12,02,07,,,,375,375,1,375,375,0,,0,0,0,,44,,4308,3,1,4,4,,,,,,,,,,,,,,,,,1,15,4,166
110009,2026,06,4,24,0,11,,1,1,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,11,,156
110010,2026,06,4,59,0,11,,1,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,,,,,,,,,,,,08,,86
110011,2026,06,1,24,2,04,,1,6,5,1,,,2,3,06,08,38,,,,400,400,1,400,400,0,,0,0,0,,38,,2200,3,3,2,2,,,,,,,,,,,,,,,,,3,01,,594
